Designator,Footprint,Quantity,Value,LCSC Part #
BATT_CONN1,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,J1,
"C1, C2",0201,2,10µF,
"CHG1, FULL1",0201,2,LED,
P1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Plug_USB2.0,
Q1,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm,1,FS8205A,
"R1, R2",0603,2,5.1KΩ,
"R3, R4, R5, R6",0603,4,1KΩ,
R7,0603,1,200mΩ,
"R8, R9",0603,2,100Ω,
RPROG1,0603,1,2KΩ,
"TP_B+1, TP_B-1, TP_P+1, TP_P-1, TP_VIN1",TestPoint_THTPad_D1.0mm_Drill0.5mm,5,TestPoint,
U1,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm,1,TP4056-42-ESOP8,
U2,SOT-23-6,1,DW01A,
