Designator,Mid X,Mid Y,Rotation,Layer
BATT_CONN1,200.875,-98.95,180.0,top
C1,165.62,-92.86,180.0,top
C2,170.98,-92.86,180.0,top
CHG1,174.655,-87.75,0.0,top
FULL1,174.705,-90.11,0.0,top
P1,168.0,-104.83,0.0,top
Q1,177.9875,-100.495,0.0,top
R1,170.25,-99.835,0.0,top
R2,165.75,-99.835,180.0,top
R3,178.3,-90.785,90.0,top
R4,178.3,-87.035,270.0,top
R5,171.975,-84.61,180.0,top
R6,165.225,-84.36,0.0,top
R7,188.0625,-97.4,0.0,top
R8,184.3875,-101.575,270.0,top
R9,185.8125,-105.65,180.0,top
RPROG1,163.55,-89.685,270.0,top
U1,168.65,-89.385,0.0,top
U2,187.75,-101.7,180.0,top
