Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C6",0402,3,0.1uF,
"C2, C7",0402,2,22uF,
C4,0402,1,2.2uF,
C5,0402,1,10uF,
D1,0603,1,D_Schottky,
D2,0603,1,PTVS26VZ1USK,
F1,Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm,1,Fuse,
IN,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,IN,
L1,L_APV_ANR3010,1,6.8uH,
OUT,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,OUT,
R1,0402,1,82KΩ,
"R2, R3",0402,2,10KΩ,
R4,0402,1,20KΩ,
"TP_VIN1, TP_VOUT1",TestPoint_Keystone_5000-5004_Miniature,2,TestPoint,
U1,CONV_LM43603PWPT,1,LM43603PWPT,
