Designator,Mid X,Mid Y,Rotation,Layer
C1,165.0,-86.73,90.0,top
C2,161.35,-82.52,90.0,top
C3,177.0,-89.27,90.0,top
C4,182.0,-89.27,90.0,top
C5,179.5,-89.31,270.0,top
C6,165.0,-89.02,270.0,top
C7,163.85,-82.52,90.0,top
D1,172.7125,-82.25,0.0,top
D2,181.2125,-92.75,180.0,top
F1,178.05,-83.7,270.0,top
IN,171.96,-73.0,180.0,top
L1,166.6,-82.0,180.0,top
OUT,171.96,-101.25,0.0,top
R1,169.74,-92.5,0.0,top
R2,174.24,-92.5,0.0,top
R3,181.49,-86.25,180.0,top
R4,171.99,-92.5,0.0,top
TP_VIN1,163.25,-77.5,0.0,top
TP_VOUT1,164.25,-94.75,90.0,top
U1,171.275,-88.25,0.0,top
