Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-1608-10_AVX-L,1,100nF,
"C2, C3, C5, C6, C9",CP_EIA-1608-10_AVX-L,5,0.1µF,
C4,CP_EIA-1608-10_AVX-L,1,10µF,
C7,CP_EIA-1608-10_AVX-L,1,470uF,
C8,CP_EIA-1608-10_AVX-L,1,0.1uF,
D1,0201,1,LED,
D2,0603,1,SS14,
F1,0603,1,Fuse,
J3,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack,
"JST1, JST2, JST3, JST4, JST5, JST6, JST7, JST8",JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,8,SM04B-SRSS-TB,
MUX2,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,
P1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Plug_USB2.0,
"Q1, Q2",SuperSOT-3,2,PMOS,
"R1, R6, R7",0201,3,5.1KΩ,
"R10, R4",0201,2,100KΩ,
"R11, R12, R2, R8, R9",0201,5,10KΩ,
R5,0201,1,330Ω,
RMUX1,0201,1,10k,
TP_3.3V1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_3.3V,
TP_BARREL1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_Barrel,
TP_GND1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_GND,
TP_RX1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_RX,
TP_SCL1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_SCL,
TP_SDA1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_SDA,
TP_TX1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_TX,
TP_USB1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_USB,
TP_VIN1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_VIN,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
