Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",CP_EIA-1608-10_AVX-L,2,10uF,
"C10, C8, C9",CP_EIA-1608-10_AVX-L,3,0.1µF,
C2,CP_EIA-1608-10_AVX-L,1,0.1uF,
"C4, C5",CP_EIA-1608-10_AVX-L,2,22uF,
C6,CP_EIA-1608-10_AVX-L,1,10nF,
C7,CP_EIA-1608-10_AVX-L,1,100nF,
"D1, D2",D_SOD-523,2,ESD5Zxx,
F1,Fuse_BelFuse_0ZRE0025FF_L9.6mm_W3.8mm,1,Fuse,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J2, J3",PinHeader_1x10_P2.54mm_Vertical,2,Conn_01x10_Socket,
L1,L_Coilcraft_MSS1246H-XXX,1,3uH,
LED,0402,1,LED,
P1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Plug_USB2.0,
"R1, R2",0201,2,5.1KΩ,
R3,0201,1,31KΩ,
R4,0201,1,100KΩ,
"R5, R8, R9",0201,3,10KΩ,
R6,0201,1,1KΩ,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
"TP3V3, TPGND1, TP_EN1, TP_RTS1, TP_RX1, TP_TX1",TestPoint_Keystone_5000-5004_Miniature,6,TestPoint,
U1,MP1584EN_Buck_convertor,1,MP1584EN-LF-Z,
U2,ESP32-WROOM-32,1,ESP32-WROOM-32,
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,
