Designator,Mid X,Mid Y,Rotation,Layer
C1,155.115,-115.95,0.0,top
C10,151.35,-103.46,270.0,top
C2,155.115,-118.95,0.0,top
C3,138.865,-120.71,0.0,top
C4,135.9,-121.425,270.0,top
C5,138.865,-123.96,180.0,top
C6,139.15,-109.425,270.0,top
C7,141.4,-74.675,270.0,top
C8,141.4,-70.925,270.0,top
C9,148.1,-103.46,270.0,top
D1,148.45,-117.45,0.0,top
D2,151.65,-117.45,0.0,top
F1,159.5,-119.25,90.0,top
J1,166.34,-109.21,90.0,top
J2,168.15,-86.9,0.0,top
J3,174.9,-86.65,0.0,top
L1,138.65,-99.71,90.0,top
LED,134.665,-113.21,180.0,top
P1,150.725,-124.78,0.0,top
R1,150.165,-119.45,180.0,top
R2,152.08,-119.45,180.0,top
R3,133.4,-116.305,90.0,top
R4,135.4,-116.28,270.0,top
R5,133.4,-118.28,270.0,top
R6,135.4,-118.28,270.0,top
R8,138.15,-71.96,270.0,top
R9,138.15,-73.96,270.0,top
SW1,138.55,-85.21,0.0,top
SW2,138.55,-80.71,0.0,top
TP3V3,134.4,-109.96,90.0,top
TPGND1,147.4,-94.21,0.0,top
TP_EN1,132.4,-85.21,0.0,top
TP_RTS1,132.15,-79.96,0.0,top
TP_RX1,157.0625,-95.11,0.0,top
TP_TX1,160.85,-101.46,0.0,top
U1,139.9,-115.46,270.0,top
U2,153.15,-78.46,0.0,top
U3,156.0,-103.56,90.0,top
