Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C3",CP_EIA-1608-10_AVX-L,3,10uF,
"C10, C12, C8, C9",CP_EIA-1608-10_AVX-L,4,0.1µF,
"C11, C4, C5",CP_EIA-1608-10_AVX-L,3,22uF,
C2,CP_EIA-1608-10_AVX-L,1,0.1uF,
C6,CP_EIA-1608-10_AVX-L,1,10nF,
C7,CP_EIA-1608-10_AVX-L,1,100nF,
"D1, D2",D_SOD-523,2,ESD5Zxx,
D3,0402,1,LED,
F1,Fuse_BelFuse_0ZRE0025FF_L9.6mm_W3.8mm,1,Fuse,
J1,PinHeader_1x04_P2.54mm_Vertical,1,UART header,
J2,PinHeader_1x10_P2.54mm_Vertical,1,GPIO,
L1,L_Coilcraft_MSS1246H-XXX,1,3uH,
P1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Plug_USB2.0,
"R1, R2",0201,2,5.1KΩ,
"R10, R11, R5, R7, R8, R9",0201,6,10KΩ,
R3,0201,1,31KΩ,
R4,0201,1,100KΩ,
R6,0201,1,1KΩ,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
"TP3V3, TPGND1, TP_CSD1, TP_CSM2, TP_DC1, TP_D_RESET1, TP_EN1, TP_MISO1, TP_MOSI1, TP_RTS1, TP_RX1, TP_SCLK1, TP_TX1",TestPoint_Keystone_5000-5004_Miniature,13,TestPoint,
U1,MP1584EN_Buck_convertor,1,MP1584EN-LF-Z,
U2,ESP32-WROOM-32,1,ESP32-WROOM-32,
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U5,CR2013-MI2120,1,CR2013-MI2120,
