Designator,Mid X,Mid Y,Rotation,Layer
C1,126.25,-123.0,0.0,top
C10,126.625,-99.215,270.0,top
C11,108.0,-109.965,270.0,top
C12,147.0,-91.215,90.0,top
C13,150.5,-115.965,270.0,top
C2,126.25,-126.0,0.0,top
C3,112.035,-121.0,0.0,top
C4,109.0,-121.75,270.0,top
C5,112.035,-124.25,180.0,top
C6,111.25,-110.035,270.0,top
C7,108.595,-71.765,270.0,top
C8,108.595,-68.195,270.0,top
C9,123.375,-99.215,270.0,top
D1,119.8,-124.5,0.0,top
D2,122.8,-124.5,0.0,top
D3,106.985,-112.5,180.0,top
F1,131.15,-125.7,90.0,top
J1,129.19,-108.0,90.0,top
J2,94.25,-88.68,0.0,top
L1,113.75,-101.25,90.0,top
P1,123.175,-131.82,0.0,top
R1,121.43,-126.5,180.0,top
R10,146.75,-87.75,270.0,top
R11,150.75,-120.155,90.0,top
R2,123.5,-126.5,180.0,top
R3,105.75,-115.57,90.0,top
R4,107.75,-115.57,270.0,top
R5,105.75,-117.655,270.0,top
R6,107.75,-117.655,270.0,top
R7,146.75,-85.25,270.0,top
R8,105.845,-68.135,90.0,top
R9,105.845,-70.325,90.0,top
SW1,106.495,-81.73,0.0,top
SW2,106.495,-76.73,0.0,top
TP3V3,118.5,-111.75,0.0,top
TPGND1,107.845,-90.98,0.0,top
TP_CSD1,134.095,-69.73,0.0,top
TP_CSM2,124.25,-91.25,0.0,top
TP_DC1,134.345,-86.23,0.0,top
TP_D_RESET1,134.595,-80.98,0.0,top
TP_EN1,99.595,-82.5,0.0,top
TP_MISO1,116.0,-91.0,0.0,top
TP_MOSI1,149.095,-78.4125,90.0,top
TP_RTS1,99.595,-77.5,0.0,top
TP_RX1,131.125,-92.75,0.0,top
TP_SCLK1,143.345,-78.4125,90.0,top
TP_TX1,135.375,-96.75,0.0,top
U1,112.345,-115.775,90.0,top
U2,120.0,-75.365,0.0,top
U3,130.8125,-99.25,90.0,top
U4,142.75,-87.5,0.0,top
U5,172.0,-99.7675,270.0,top
