Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5",0402,3,0.1µF,
C2,0402,1,47µF,
C3,0402,1,100µF,
D1,0603,1,D_Schottky,
"D2, D3",0603,2,TVS,
DRV,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,DRV,
F1,Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm,1,Fuse,
J3,PinHeader_1x03_P2.54mm_Vertical,1,CTRL_header,
MOTOR_OUT1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Motor_OUT,
PW_IN,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,PW_IN,
R1,0402,1,30KΩ,
"R2, R3",0402,2,150Ω,
"R4, R5",0402,2,10KΩ,
"TP_GND1, TP_IN1, TP_IN2, TP_M+1, TP_M-1, TP_VIN1",TestPoint_Keystone_5000-5004_Miniature,6,TestPoint,
