Designator,Mid X,Mid Y,Rotation,Layer
C1,145.28,-126.3,180.0,top
C2,145.28,-123.8,180.0,top
C3,145.28,-121.3,180.0,top
C4,143.55,-126.53,90.0,top
C5,141.05,-126.53,90.0,top
D1,139.15,-147.4,180.0,top
D2,139.1875,-144.15,180.0,top
D3,135.0375,-122.0775,0.0,top
DRV,143.75,-132.65,90.0,top
F1,132.7,-146.7,0.0,top
J3,133.5,-131.25,180.0,top
MOTOR_OUT1,137.0,-113.5775,180.0,top
PW_IN,136.5,-155.75,0.0,top
R1,146.04,-138.3,180.0,top
R2,143.79,-138.3,180.0,top
R3,141.54,-138.3,180.0,top
R4,141.55,-140.8,180.0,top
R5,143.8,-140.8,180.0,top
TP_GND1,135.4,-141.4,0.0,top
TP_IN1,128.5,-129.79,0.0,top
TP_IN2,128.5,-134.04,180.0,top
TP_M+1,131.0,-121.8275,90.0,top
TP_M-1,140.0,-122.0775,180.0,top
TP_VIN1,143.65,-148.4,270.0,top
