Designator,Mid X,Mid Y,Rotation,Layer
C1,114.05,-64.5,180.0,top
C2,114.0,-59.5,180.0,top
CRESET1,122.55,-64.5,0.0,top
D1,121.73,-103.5,0.0,top
D2,121.73,-94.0,0.0,top
D3,121.73,-84.0,0.0,top
D4,121.77,-74.5,0.0,top
D5,98.995,-74.5,0.0,top
D6,99.035,-84.5,0.0,top
D7,99.035,-94.5,0.0,top
D8,98.495,-104.0,0.0,top
R1,129.0,-103.5,270.0,top
R2,129.0,-93.5,270.0,top
R3,129.0,-83.5,270.0,top
R4,129.0,-74.5,270.0,top
R5,92.265,-74.5,90.0,top
R6,92.305,-83.5,270.0,top
R7,92.305,-94.0,270.0,top
R8,92.265,-104.0,270.0,top
RRESET1,122.6,-59.5,180.0,top
U1,110.81,-87.89,0.0,top
Y1,106.0,-62.06,90.0,top
