Designator,Mid X,Mid Y,Rotation,Layer
C1,117.95,-92.285,270.0,top
C2,140.0,-125.75,270.0,top
C3,136.5,-125.785,270.0,top
C4,133.0,-125.785,270.0,top
C5,138.55,-135.215,270.0,top
C6,135.05,-135.25,270.0,top
C7,121.1,-141.235,270.0,top
C8,124.6,-141.235,270.0,top
C9,146.2,-106.25,270.0,top
D1,137.905,-128.285,180.0,top
D2,114.6,-141.2,270.0,top
F1,117.85,-141.4125,270.0,top
J3,120.6,-149.3,0.0,top
JST1,159.85,-136.225,270.0,top
JST2,159.85,-124.725,270.0,top
JST3,159.95,-113.325,270.0,top
JST4,159.85,-101.975,270.0,top
JST5,111.15,-99.725,90.0,top
JST6,111.0,-111.325,90.0,top
JST7,110.5,-123.25,90.0,top
JST8,110.3,-135.375,90.0,top
MUX2,148.75,-124.75,270.0,top
P1,141.5,-151.405,0.0,top
Q1,120.7,-131.9,90.0,top
Q2,126.75,-131.85,90.0,top
R1,141.3,-139.655,270.0,top
R10,120.105,-129.05,0.0,top
R11,143.45,-97.07,270.0,top
R12,143.45,-93.905,90.0,top
R2,143.55,-139.655,270.0,top
R4,126.25,-128.75,0.0,top
R5,140.155,-128.285,0.0,top
R6,142.595,-146.0,180.0,top
R7,140.345,-146.0,0.0,top
R8,121.2,-92.655,270.0,top
R9,143.45,-106.905,270.0,top
RMUX1,151.4825,-117.475,180.0,top
U1,131.655,-99.135,0.0,top
U2,143.15,-135.35,90.0,top
U3,136.25,-119.75,180.0,top
