Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C16, C17, C18, C2, C20, C21, C23, C24, C26, C30, C7",CP_EIA-1608-10_AVX-L,14,10uF,
"C10, C11, C13",CP_EIA-1608-10_AVX-L,3,0.1µF,
C12,CP_EIA-1608-10_AVX-L,1,100nF,
"C19, C22, C25, C27, C31, C32, C33, C34",CP_EIA-1608-10_AVX-L,8,0.1uF,
"C28, C29, C3",CP_EIA-1608-10_AVX-L,3,470uF,
C4,CP_EIA-1608-10_AVX-L,1,180uF,
C5,CP_EIA-1608-10_AVX-L,1,105F,
"C6, C8",CP_EIA-1608-10_AVX-L,2,1uF,
C9,CP_EIA-1608-10_AVX-L,1,0.01uF,
D1,0805,1,D_Schottky,
D2,0805,1,1N5819WS,
"D3, D4",0201,2,LED,
"D5, D6",D_SOD-523,2,ESD5Zxx,
F1,0603,1,Fuse,
"J1, J2",Jack_3.5mm_Ledino_KB3SPRS_Horizontal,2,AudioJack3,
J3,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack,
L1,0201,1,68uH,
P1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Plug_USB2.0,
"Q1, Q2",SuperSOT-3,2,PMOS,
"R1, R2, R6",0201,3,5.1KΩ,
"R10, R5",0201,2,330Ω,
"R11, R12, R13, R14, R19, R20, R7, R8, R9",0201,9,10KΩ,
"R15, R16, R3, R4",0201,4,100KΩ,
"R17, R18",0201,2,1MΩ,
"R21, R22",0201,2,33Ω,
TP_12V1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_12V,
TP_3V3A1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_3V3A,
TP_3V3D1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_3V3D,
TP_5V1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_5V,
TP_5VBARREL1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_5VBarrel,
TP_5VUSB1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_5VUSB,
TP_GND1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_GND,
TP_RX1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_RX,
TP_SCL1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_SCL,
TP_SDA1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_SDA,
TP_TX1,TestPoint_Plated_Hole_D2.0mm,1,TestPoint_TX,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5.0,
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,
U3,TO-252-2,1,NCP1117-3.3_TO252,
U4,MSOP-8_3x3mm_P0.65mm,1,LT1762-3.3,
U5,ESP32-WROOM-32,1,ESP32-WROOM-32,
"U6, U8",DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,2,MCP6002-xMC,
U7,QFN-28-1EP_4x4mm_P0.45mm_EP2.6x2.6mm,1,ES8388,
