Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,1,0.5uF,
C2,CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,1,470uF,
"C3, C6, C7",CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,3,10uF,
"C4, C5, C8",CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,3,0.1uF,
"D1, D3, D4",D_SMA,3,SS14,
"D2, D5",LED_D3.0mm,2,LED,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,5V,
J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,3.3V,
J3,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack,
"R1, R2",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,330Ω,
U1,PTC_FUSE,1,PTC_FUSE,
U2,TO-220-3_Vertical,1,LD1117V50,
U3,SOT-89-3,1,MCP1700,
