Designator,Mid X,Mid Y,Rotation,Layer
C1,106.627,-44.3145,90.0,top
C2,113.4645,-72.3145,270.0,top
C3,98.627,-44.3145,90.0,top
C4,122.9645,-72.3145,270.0,top
C5,90.627,-44.3145,90.0,top
C6,105.222,-93.8145,270.0,top
C7,97.4645,-93.8145,270.0,top
C8,89.222,-93.8145,270.0,top
D1,102.4645,-65.3145,180.0,top
D2,90.3845,-57.0845,270.0,top
D3,116.9645,-99.3145,0.0,top
D4,116.292,-43.2695,0.0,top
D5,96.2345,-79.8145,180.0,top
J1,119.9645,-90.2745,90.0,top
J2,119.4645,-53.2745,90.0,top
J3,91.6645,-69.9145,270.0,top
R1,83.125,-45.575,90.0,top
R2,82.25,-92.5,270.0,top
U1,104.477,-71.8145,0.0,top
U2,102.5045,-57.8145,0.0,top
U3,105.5145,-80.3145,90.0,top
