Designator,Mid X,Mid Y,Rotation,Layer
A1,141.9,-98.52,0.0,top
C1,130.5,-107.0,90.0,top
C3,133.0,-107.0,90.0,top
D1,132.75,-112.885,270.0,top
D2,135.75,-112.885,270.0,top
F1,129.2,-116.1725,90.0,top
J1,129.4,-99.0,90.0,top
J2,154.75,-96.96,0.0,top
MICROSTEP,154.21,-119.385,90.0,top
PW_IN1,137.25,-121.6725,0.0,top
R1,151.75,-112.24,90.0,top
R2,154.25,-112.24,90.0,top
R3,156.75,-112.24,90.0,top
R4,131.89,-92.76,270.0,top
R5,151.65,-107.52,180.0,top
R6,151.24,-89.75,0.0,top
R7,151.4,-92.27,180.0,top
TP_GND1,144.75,-119.25,270.0,top
TP_MS1,145.0,-112.0,270.0,top
TP_MS2,154.75,-108.25,0.0,top
TP_MS3,159.75,-111.0,270.0,top
TP_VIN1,139.75,-112.1725,270.0,top
