Designator,Mid X,Mid Y,Rotation,Layer
C1,183.7517,-85.2925,270.0,top
C10,159.3017,-84.8,270.0,top
C11,159.0517,-89.8,270.0,top
C12,113.5867,-103.8,0.0,top
C13,108.3367,-103.8,0.0,top
C14,121.9167,-126.1425,180.0,top
C15,121.9167,-121.1425,180.0,top
C16,122.2017,-110.3925,0.0,top
C17,134.2367,-131.8925,0.0,top
C18,134.4517,-117.1425,0.0,top
C19,161.0517,-126.335,90.0,top
C2,183.7517,-80.8275,270.0,top
C20,155.5517,-126.335,90.0,top
C21,149.8017,-119.98,270.0,top
C22,144.5517,-120.015,270.0,top
C23,165.8017,-118.515,270.0,top
C24,156.8017,-108.765,180.0,top
C25,151.3367,-109.05,0.0,top
C26,149.8017,-115.55,270.0,top
C27,144.5517,-115.515,270.0,top
C28,165.8017,-122.8,90.0,top
C29,166.0517,-113.765,270.0,top
C3,139.4367,-96.79,270.0,top
C30,149.8017,-126.3,90.0,top
C31,150.3017,-131.3,0.0,top
C32,156.0167,-131.05,180.0,top
C33,160.8017,-131.05,180.0,top
C34,161.0517,-112.98,270.0,top
C4,150.1867,-91.075,270.0,top
C5,139.4367,-91.04,270.0,top
C6,178.7517,-80.8625,270.0,top
C7,184.3367,-96.8,0.0,top
C8,184.5867,-101.55,0.0,top
C9,184.3367,-106.05,0.0,top
D1,145.7017,-79.6,0.0,top
D2,144.9367,-99.075,0.0,top
D3,177.0717,-84.9225,90.0,top
D4,188.3367,-94.23,90.0,top
D5,113.975,-132.5,180.0,top
D6,108.845,-111.25,180.0,top
F1,140.2017,-79.6,180.0,top
J1,109.45,-122.8,0.0,top
J2,187.95,-120.1,180.0,top
J3,140.7017,-72.25,180.0,top
L1,149.9367,-95.755,90.0,top
P1,163.3017,-68.145,180.0,top
Q1,165.6517,-103.3,180.0,top
Q2,165.7017,-96.75,180.0,top
R1,159.0517,-75.05,180.0,top
R10,188.3367,-97.48,270.0,top
R11,113.0517,-78.3,90.0,top
R12,108.8017,-78.3,90.0,top
R13,118.345,-132.5,180.0,top
R14,112.595,-111.25,180.0,top
R15,128.0717,-115.3925,180.0,top
R16,122.1067,-115.3925,180.0,top
R17,126.2017,-126.1425,0.0,top
R18,126.2717,-121.1425,0.0,top
R19,137.3567,-126.8925,0.0,top
R2,164.0517,-75.05,180.0,top
R20,137.6317,-122.1425,0.0,top
R21,170.5517,-116.015,180.0,top
R22,170.4817,-120.515,180.0,top
R3,161.8017,-103.205,90.0,top
R4,161.8017,-96.98,90.0,top
R5,179.5017,-85.3275,0.0,top
R6,164.1217,-89.55,180.0,top
R7,168.6217,-89.55,180.0,top
R8,118.4067,-103.3,180.0,top
R9,117.3017,-78.335,90.0,top
U1,144.9367,-93.575,0.0,top
U2,165.1517,-84.95,90.0,top
U3,194.5917,-83.33,0.0,top
U4,189.3617,-102.9375,180.0,top
U5,114.4367,-91.145,90.0,top
U6,131.7517,-126.3925,90.0,top
U7,157.1517,-118.715,180.0,top
U8,131.7517,-121.3925,90.0,top
